Sport,League,Time,Team 1,Team 2,Odds 1,Odds X,Odds 2
Football,First League,05:00,Ekibastuz,Aktobe 2,1.08,8.26,15.60
Football,U19 League,05:00,Inhulets U19,Oleksandriya U19,3.31,4.00,1.84
Football,Queensland Premier League,05:30,Logan Lightning,Magic United,2.38,4.30,2.25
Football,U21 League,06:00,MC Alger U21,El Bayadh U21,1.21,5.39,11.11
Football,U21 League,06:00,Mostaganem U21,Magra U21,2.58,3.40,2.38
Football,NPL South Australia,06:00,Adelaide Croatia Raiders,Adelaide Comets,2.14,3.73,2.81
Football,Crystalbet Erovnuli Liga 2,06:00,Loco. Tbilisi,Spaeri,3.00,3.31,2.15
Football,WK League Women,06:00,Gyeongju W,Mungyeong Sangmu W,1.55,4.20,4.66
Football,WK League Women,06:00,Seoul W,Changnyeong W,1.17,6.21,14.37
Football,WK League Women,06:00,Incheon Hyundai Steel W,Suwon FC W,1.88,3.24,4.00
Football,WK League Women,06:00,Hwacheon W,Sejong Sportstoto W,2.05,3.35,3.30
Football,Championship Women,06:00,SeaSters Odessa W,Metalist 1925 W,5.05,4.96,1.45
Football,Druha Liga,06:00,Vorskla Poltava 2,Kolos Kovalivka 2,10.52,5.52,1.23
Football,U19 League,06:00,Zorya U19,Livyi Bereg U19,1.93,3.70,3.21
Football,NPL Western Australia,07:00,Bayswater,Balcatta,1.41,5.01,5.60
Football,Crystalbet Erovnuli Liga 2,07:00,Rustavi,Gonio,1.30,5.18,7.56
Football,Liga 3,07:00,Loco. Tbilisi 2,Borjomi,2.21,3.91,2.50
Football,Super Cup,07:00,North East Utd,Mohammedan,1.07,10.22,24.53
Football,Pro Liga,07:30,Aral,Olympic,1.52,3.86,5.74
Football,Premier League,07:45,Balestier Khalsa,Hougang,1.82,4.81,3.04
Football,Crystalbet Erovnuli Liga 2,08:00,Iberia 1999 2,Merani Martvili,2.41,3.52,2.50
Football,Crystalbet Erovnuli Liga 2,08:00,Samtredia,Meshakhte Tkibuli,2.13,3.28,3.06
Football,Liga 3,08:00,Khobi,Shturmi,4.51,4.62,1.49
Football,Liga 3,08:00,Gori,Margveti 2006,N/A,N/A,N/A
Football,Liga 3,08:00,Merani Tbilisi,Didube,1.86,4.05,10.03
Football,Liga 3,08:00,Gardabani,Varketili,6.24,5.50,1.31
Football,Division A Women,08:00,Kifisia W,PAOK W,12.06,6.43,1.16
Football,Liga 1,08:00,Arema FC,Madura United,2.53,3.48,2.47
Football,Premier League,08:00,Al Hikma,Safa,7.04,3.88,1.44
Football,Premier League,08:30,Al Ghazieh,Bourj FC,3.36,2.92,2.18
Football,Abissnet Superiore,09:00,Besa Kavaje,Apolonia Fier,1.47,3.66,6.55
Football,Abissnet Superiore,09:00,Burreli,Pogradeci,2.38,3.68,2.39
Football,I Liqa,09:00,Lokbatan,Difai Agsu,1.60,3.64,4.89
Football,I Liqa,09:00,Mingachevir,Baku Sporting,1.70,3.63,4.11
Football,Premier League,09:00,Gor Mahia,Talanta FC,1.29,4.65,9.54
Football,Premier League,09:00,Tadamon,Al Ahed,11.33,5.26,1.23
Football,Premier League,09:00,Maroons,Vipers,4.31,3.07,1.84
Football,U21 League,09:30,Paradou U21,ES Setif U21,1.95,3.31,3.51
Football,Vysshaya Liga Women,10:00,Dnepr Mogilev W,Belarus U19 W,1.57,3.78,5.06
Football,Elite One,10:30,Union Douala,Fortuna Mfou,2.70,2.80,2.64
Football,Super Cup,10:30,Jamshedpur,Hyderabad,1.71,3.83,4.16
Football,Crown Prince Cup,10:30,Al Arabi,Al-Fahaheel,1.75,3.51,4.11
Football,Liga 2,10:30,FC Arges,Steaua Bucuresti,2.45,2.76,3.07
Football,Ligue 1,11:00,Constantine,Khenchela,1.68,3.33,5.59
Football,U21 League,11:00,ASO Chlef U21,Biskra U21,1.60,4.00,4.96
Football,U21 League,11:00,Kabylie U21,CR Belouizdad U21,2.28,3.41,2.75
Football,U21 League,11:00,Constantine U21,Khenchela U21,1.67,3.31,5.00
Football,Crystalbet Erovnuli Liga,11:00,Telavi,Iberia 1999,5.93,3.67,1.53
Football,Icelandic Cup Women,11:00,Alftanes W,Fjolnir W,6.94,6.06,1.26
Football,Virsliga,11:00,Auda,Grobina,1.17,6.42,13.10
Football,Liga MX U23,11:00,Necaxa U23,Juarez U23,3.09,3.18,2.23
Football,Botola 2,11:00,Stade Marocain,Yacoub El Mansour,2.81,2.83,2.58
Football,Botola 2,11:00,Rapide Oued Zem,Kawkab Marrakech,3.20,2.61,2.48
Football,Botola 2,11:00,Dcheira,Mouloudia Oujda,2.04,3.09,3.52
Football,Botola 2,11:00,USM Oujda,Raja Beni Mellal,3.09,2.66,2.52
Football,Botola 2,11:00,Chabab Benguerir,Wydad Fes,2.14,2.62,4.04
Football,Botola 2,11:00,Chabab Atlas Khenifra,Jeunesse Massira,2.53,2.57,3.16
Football,Super Ligue,11:00,Olympic Niamey,US Gendarmerie,4.34,2.90,1.87
Football,NM Cup,11:00,Levanger,Rana FK,1.22,5.80,9.78
Football,Super Liga,11:00,Sp. Subotica,Napredak,2.24,2.95,3.39
Football,1. Liga Women,11:15,Trencin W,Trnava W,3.28,4.07,1.83
Football,NM Cup,11:30,Grorud,Hodd,2.81,3.17,2.38
Football,Esiliiga,12:00,FC Tallinn,Elva,2.47,3.58,2.42
Football,GFA League,12:00,Marimoo,Brikama U.,2.58,2.78,2.89
Football,GFA League,12:00,Bombada,Real Banjul,2.94,2.88,2.45
Football,GFA League,12:00,Hart Academy,Fortune,2.74,2.70,2.75
Football,GFA League,12:00,Dutch Lions,Steve Biko,2.72,2.57,2.94
Football,Crystalbet Erovnuli Liga,12:00,FC Gareji Sagarejo,Dila Gori,4.80,3.43,1.70
Football,Crystalbet Erovnuli Liga 2,12:00,Bolnisi,Dinamo Tbilisi 2,1.48,4.27,5.15
Football,Besta deild karla,12:00,Vestmannaeyjar,Fram,2.55,3.52,2.50
Football,Premier League,12:00,Maan,Shabab Al Ordon,4.34,3.51,1.74
Football,NM Cup,12:00,OS TF,Lysekloster,8.42,5.88,1.22
Football,NM Cup,12:00,Pors,Start,4.84,4.36,1.48
Football,NM Cup,12:00,Sortland,Tromsdalen,12.73,6.69,1.13
Football,NM Cup,12:00,Stjordals Blink,Ranheim,3.10,3.80,1.85
Football,NM Cup,12:00,Traeff,Molde,13.57,7.95,1.10
Football,NM Cup,12:00,Torvastad,Bryne,13.86,7.74,1.10
Football,NM Cup,12:00,Junkeren,Bodo/Glimt,27.90,13.28,1.03
Football,NM Cup,12:00,Sotra,Asane,2.66,3.46,2.35
Football,NM Cup,12:00,Alta,Skeid,2.96,3.66,2.11
Football,NM Cup,12:00,Orn,Sandefjord,14.64,8.73,1.10
Football,NM Cup,12:00,Flint,Fredrikstad,23.18,11.06,1.05
Football,NM Cup,12:00,Nardo,Kristiansund,12.55,5.29,1.22
Football,NM Cup,12:00,Strindheim,Rosenborg,20.66,9.98,1.07
Football,NM Cup,12:00,Lorenskog,HamKam,11.46,6.51,1.17
Football,NM Cup,12:00,Gamle Oslo,Sarpsborg 08,12.96,6.72,1.15
Football,NM Cup,12:00,Elverum,Kongsvinger,7.31,5.43,1.29
Football,NM Cup,12:00,Jerv,Egersund,3.53,3.77,1.85
Football,NM Cup,12:00,Bjarg,Brann,20.61,9.79,1.07
Football,NM Cup,12:00,Sandviken,Sogndal,6.16,4.51,1.41
Football,NM Cup,12:00,Ull/Kisa,Aalesund,4.06,4.33,1.63
Football,NM Cup,12:00,Strommen,Raufoss,2.52,3.27,2.58
Football,NM Cup,12:00,Fram,Stabaek,9.49,6.08,1.21
Football,NM Cup,12:00,Vidar,Haugesund,5.89,4.57,1.42
