Sport,League,Time,Team 1,Team 2,Odds 1,Odds X,Odds 2
Soccer,"International
Copa Libertadores","Today, 20:00",EC Bahia BA,Atletico Nacional Medellin,1.90,3.50,4.20
Soccer,"Ecuador
Serie B","Today, 20:00",Chacaritas FC,Guayaquil City FC,4.40,3.50,1.77
Soccer,"Mexico
Liga De Expansion MX, Clausura","Today, 20:00",Venados FC,CD Mineros de Zacatecas,2.85,3.45,2.30
Soccer,"USA
MLS Next Pro","Today, 20:00",Colorado Rapids 2,Minnesota United FC 2,2.55,4.00,2.30
Soccer,"International
Copa Libertadores","Today, 20:30",Cerro Porteno,Sporting Cristal,1.64,3.75,5.40
Soccer,"International
Copa Sudamericana","Today, 20:30",Deportes Iquique,CS Cienciano,1.83,3.60,4.30
Soccer,"International
Copa Sudamericana","Today, 20:30",CD Palestino,Cruzeiro EC MG,3.05,3.15,2.42
Soccer,"Brazil
Brasileiro Serie B","Today, 20:35",Gremio Novorizontino SP,CA Paranaense PR,2.42,2.85,3.30
Soccer,"Mexico
Liga MX, Women, Clausura","Today, 21:00",CD Guadalajara,Pumas UNAM,1.85,3.80,3.80
Soccer,"International
Copa Sudamericana","Today, 22:00",CD Universidad Catolica del Ecuador,Defensa y Justicia,1.63,3.75,5.80
Soccer,"Guatemala
Liga Nacional. Apertura","Today, 22:00",CSD Xelaju MC,CSD Coban Imperial,1.55,3.95,5.70
Soccer,"Guatemala
Primera Division","Today, 22:00",CSD Sacachispas,CD Mictlan,2.05,2.95,3.95
Soccer,"Mexico
Liga De Expansion MX, Clausura","Today, 22:05",Tepatitlan FC,Leones Negros UDEG,2.50,3.25,2.55
Soccer,"International
CONCACAF Champions Cup","Today, 22:30",Vancouver Whitecaps FC,Inter Miami CF,2.20,3.55,3.05
Soccer,"New Zealand
Southern Football League","Today, 22:45",Nomads United AFC,Coastal Spirit FC,3.40,4.85,1.75
Soccer,"Australia
NSW NPL 1","Today, 23:30",Sydney FC II,Sutherland Sharks,2.25,3.80,2.75
Soccer,"Australia
Northern NSW NPL","Tomorrow, 00:30",Adamstown Rosebud FC,Weston Workers FC,5.70,5.50,1.40
Soccer,"Australia
NSW League One","Tomorrow, 01:00",UNSW FC,Canterbury Bankstown FC,1.60,4.50,4.30
Soccer,"Australia
South Australia NPL","Tomorrow, 01:30",Adelaide City FC,Croydon Kings FC,1.60,4.50,4.30
Soccer,"Australia
South Australia State League 1","Tomorrow, 02:15",West Adelaide SC,The Cove,1.65,4.30,4.30
Soccer,"Australia
Northern NSW NPL","Tomorrow, 03:00",New Lambton FC,Belmont Swansea,3.20,4.50,1.85
Soccer,"Australia
Queensland NPL","Tomorrow, 03:30",Peninsula Power FC,St George Willawong FC,1.26,5.60,9.20
Soccer,"China
China League 2","Tomorrow, 03:30",Ganzhou Ruishi FC,Guizhou Zhucheng,4.50,3.10,1.90
Soccer,"Australia
Victoria Premier League 1","Tomorrow, 04:15",Bentleigh Greens,Manningham United Blues,1.42,5.20,5.70
Soccer,"Australia
Victoria Premier League, Women","Tomorrow, 04:15",Preston Lions,Bentleigh Greens SC,1.35,4.85,8.00
Soccer,"Indonesia
Liga 1","Tomorrow, 04:30",PSIS Semarang,Borneo Samarinda,3.15,3.45,2.19
Soccer,"Indonesia
Liga 1","Tomorrow, 04:30",Dewa United,Malut United,1.74,3.70,4.50
Soccer,"Australia
South Australia NPL, Women","Tomorrow, 04:30",West Adelaide,Adelaide City,1.20,7.00,11.00
Soccer,"Czechia
U19 Championship","Tomorrow, 04:30",FC Banik Ostrava,FK Baumit Jablonec,1.09,9.50,20.00
Soccer,"Algeria
Championnat National Elite, Women","Tomorrow, 05:00",ASE Bejaia,Ar Guelma,1.86,3.60,3.55
Soccer,"Australia
South Australia NPL","Tomorrow, 05:30",FK Beograd,Modbury Jets,2.55,3.80,2.40
Soccer,"Australia
Victoria, NPL","Tomorrow, 05:30",Green Gully SC,South Melbourne FC,2.35,3.50,2.70
Soccer,"Australia
Victoria, NPL","Tomorrow, 05:30",Heidelberg United FC,Avondale FC,2.85,3.95,2.15
Soccer,"Australia
Queensland NPL","Tomorrow, 05:30",Moreton City Excelsior FC,Gold Coast United FC,1.75,4.40,3.65
Soccer,"Australia
Victoria Premier League 1","Tomorrow, 05:30",Northcote City,Brunswick City SC,2.25,3.95,2.70
Soccer,"Bangladesh
Premier League","Tomorrow, 05:30",Bangladesh Police FC,Dhaka Wanderers Club,1.05,11.00,30.00
Soccer,"Australia
A-League","Tomorrow, 05:35",Macarthur FC,Melbourne Victory,3.05,4.00,2.07
Soccer,"Australia
Victoria, NPL","Tomorrow, 05:45",Dandenong City SC,Port Melbourne Sharks,1.55,4.50,4.85
Soccer,"Japan
J.League 2","Tomorrow, 06:00",Vegalta Sendai,Ehime FC,1.70,3.50,5.20
Soccer,"Japan
J.League","Tomorrow, 06:00",Avispa Fukuoka,Fagiano Okayama,2.17,3.05,3.60
Soccer,"Japan
J.League","Tomorrow, 06:00",Kyoto Sanga FC,Yokohama FC,2.15,3.10,3.55
Soccer,"Japan
J.League","Tomorrow, 06:00",Kashima Antlers,Nagoya Grampus,2.11,3.10,3.70
